game id,Game Name,Provider,link
00000004-0000-5000-9000-000000000040,Burning Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000040.png
00000004-0000-5000-9000-000000000041,Burning Hot 6 Reels,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000041.png
00000004-0000-5000-9000-000000000043,Caramel Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000043.png
00000004-0000-5000-9000-000000000044,Casino Mania,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000044.png
00000004-0000-5000-9000-000000000045,Cats Royal,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000045.png
00000004-0000-5000-9000-000000000046,Circus Brilliant,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000046.png
00000004-0000-5000-9000-000000000048,Coral Island,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000048.png
00000004-0000-5000-9000-000000000049,Dark Queen,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000049.png
00000004-0000-5000-9000-000000000050,Dice and Roll,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000050.png
00000004-0000-5000-9000-000000000051,Dice High,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000051.png
00000004-0000-5000-9000-000000000052,Dorothy's Fairyland,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000052.png
00000004-0000-5000-9000-000000000053,Dragon Reborn,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000053.png
00000004-0000-5000-9000-000000000054,Dragon Reels,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000054.png
00000004-0000-5000-9000-000000000055,Egypt Sky,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000055.png
00000004-0000-5000-9000-000000000057,Emperor's Palace,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000057.png
00000004-0000-5000-9000-000000000058,Empress Charm,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000058.png
00000004-0000-5000-9000-000000000059,Eternal Lotus,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000059.png
00000004-0000-5000-9000-000000000060,Extra Joker,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000060.png
00000004-0000-5000-9000-000000000061,Extra Stars,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000061.png
00000004-0000-5000-9000-000000000062,Extremely Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000062.png
